epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1279.33,1.2634,1.05358,1.00554,0.74385,0.69762,0.77962,0.49279,1.50351,1.31894,1.07213,0.000709809,0.000709809,0.000709809
60,1313.25,1.32773,1.03978,1.00689,0.70281,0.70638,0.73826,0.47934,1.48968,1.2569,1.07745,0.000693305,0.000693305,0.000693305
61,1345.44,1.24268,1.0152,0.98778,0.70281,0.70638,0.73826,0.47934,1.48968,1.2569,1.07745,0.000676802,0.000676802,0.000676802
62,1378.37,1.17018,0.95457,0.97023,0.70843,0.67806,0.73318,0.42661,1.53472,1.27134,1.08659,0.000660299,0.000660299,0.000660299
63,1411.06,1.2225,1.00661,0.99881,0.70843,0.67806,0.73318,0.42661,1.53472,1.27134,1.08659,0.000643795,0.000643795,0.000643795
64,1442.96,1.23772,0.99626,1.00167,0.75065,0.64132,0.72674,0.38295,1.58137,1.32241,1.11123,0.000627292,0.000627292,0.000627292
65,1453.96,1.23947,0.97923,1.00474,0.75065,0.64132,0.72674,0.38295,1.58137,1.32241,1.11123,0.000610789,0.000610789,0.000610789
66,1469.96,1.28305,1.01093,1.01117,0.61912,0.69474,0.69904,0.38213,1.59332,1.33769,1.10065,0.000594286,0.000594286,0.000594286
67,1490.76,1.18669,0.96236,0.98845,0.61912,0.69474,0.69904,0.38213,1.59332,1.33769,1.10065,0.000577782,0.000577782,0.000577782
68,1523.11,1.20904,1.05024,0.97741,0.6702,0.675,0.7286,0.432,1.49013,1.3108,1.06682,0.000561279,0.000561279,0.000561279
69,1556.37,1.18311,0.94173,0.98432,0.6702,0.675,0.7286,0.432,1.49013,1.3108,1.06682,0.000544776,0.000544776,0.000544776
70,1590.68,1.22721,0.9757,0.97878,0.60441,0.65802,0.71539,0.43059,1.47245,1.36972,1.06391,0.000528272,0.000528272,0.000528272
71,1624.23,1.14812,0.97202,0.97934,0.60441,0.65802,0.71539,0.43059,1.47245,1.36972,1.06391,0.000511769,0.000511769,0.000511769
72,1650.01,1.30396,0.98773,0.97094,0.61817,0.64777,0.69302,0.38363,1.54149,1.39841,1.07525,0.000495266,0.000495266,0.000495266
73,1682.27,1.15981,0.91473,0.9641,0.61817,0.64777,0.69302,0.38363,1.54149,1.39841,1.07525,0.000478762,0.000478762,0.000478762
74,1714.42,1.19582,0.94218,0.99001,0.63611,0.76419,0.72484,0.41128,1.49838,1.35587,1.07052,0.000462259,0.000462259,0.000462259
75,1746.12,1.16778,0.93665,0.96622,0.63611,0.76419,0.72484,0.41128,1.49838,1.35587,1.07052,0.000445756,0.000445756,0.000445756
76,1761.57,1.28803,0.99762,0.99783,0.67939,0.775,0.74333,0.43112,1.42811,1.27871,1.06277,0.000429253,0.000429253,0.000429253
77,1776.79,1.28748,0.99422,0.98478,0.67939,0.775,0.74333,0.43112,1.42811,1.27871,1.06277,0.000412749,0.000412749,0.000412749
78,1789.64,1.1574,0.91215,0.94777,0.72041,0.76328,0.79078,0.4516,1.42135,1.20442,1.06254,0.000396246,0.000396246,0.000396246
79,1802.72,1.19106,0.93994,0.95183,0.72041,0.76328,0.79078,0.4516,1.42135,1.20442,1.06254,0.000379743,0.000379743,0.000379743
80,1818.56,1.2649,0.97777,0.98938,0.7187,0.76885,0.78907,0.4471,1.44246,1.14933,1.06109,0.000363239,0.000363239,0.000363239
81,1831.78,1.18753,0.92146,0.96963,0.7187,0.76885,0.78907,0.4471,1.44246,1.14933,1.06109,0.000346736,0.000346736,0.000346736
82,1844.94,1.17514,0.93879,0.97565,0.73151,0.75481,0.80217,0.47706,1.4585,1.10682,1.05355,0.000330233,0.000330233,0.000330233
83,1858.33,1.15883,0.90516,0.95603,0.73151,0.75481,0.80217,0.47706,1.4585,1.10682,1.05355,0.000313729,0.000313729,0.000313729
84,1871.74,1.19976,0.99241,0.99764,0.86794,0.68814,0.7915,0.48201,1.45147,1.09033,1.05463,0.000297226,0.000297226,0.000297226
85,1886.62,1.01409,0.86875,0.94468,0.86794,0.68814,0.7915,0.48201,1.45147,1.09033,1.05463,0.000280723,0.000280723,0.000280723
86,1902.46,1.14892,0.91419,0.98024,0.86197,0.67388,0.75966,0.47201,1.42383,1.10035,1.06227,0.00026422,0.00026422,0.00026422
87,1916.3,1.24092,0.95115,0.98066,0.86197,0.67388,0.75966,0.47201,1.42383,1.10035,1.06227,0.000247716,0.000247716,0.000247716
88,1938.46,1.25642,0.93912,0.97537,0.85319,0.65782,0.74936,0.46354,1.43413,1.09508,1.06795,0.000231213,0.000231213,0.000231213
89,1971.18,1.20756,0.975,0.96984,0.85319,0.65782,0.74936,0.46354,1.43413,1.09508,1.06795,0.00021471,0.00021471,0.00021471
90,2003.33,1.12381,0.86834,0.96358,0.85658,0.67878,0.76811,0.47388,1.43888,1.07931,1.07,0.000198206,0.000198206,0.000198206
91,2034.47,1.103,1.14213,0.95549,0.85658,0.67878,0.76811,0.47388,1.43888,1.07931,1.07,0.000181703,0.000181703,0.000181703
92,2066.64,1.01204,0.99048,0.92337,0.70377,0.76952,0.75857,0.45837,1.44872,1.07686,1.0647,0.0001652,0.0001652,0.0001652
93,2089.42,1.01062,0.94203,0.93184,0.70377,0.76952,0.75857,0.45837,1.44872,1.07686,1.0647,0.000148696,0.000148696,0.000148696
94,2106.8,1.0714,1.02059,0.94039,0.79458,0.70263,0.77187,0.46173,1.4767,1.0899,1.06691,0.000132193,0.000132193,0.000132193
95,2116.35,1.06522,1.00179,0.938,0.79458,0.70263,0.77187,0.46173,1.4767,1.0899,1.06691,0.00011569,0.00011569,0.00011569
96,2125.27,1.036,0.94903,0.92818,0.78863,0.72569,0.76812,0.45119,1.49922,1.10519,1.07223,9.91865e-05,9.91865e-05,9.91865e-05
97,2134.21,1.01975,0.95813,0.93694,0.78863,0.72569,0.76812,0.45119,1.49922,1.10519,1.07223,8.26832e-05,8.26832e-05,8.26832e-05
98,2143.23,1.04756,0.95695,0.95485,0.78462,0.72747,0.76647,0.44742,1.50939,1.11497,1.07522,6.61799e-05,6.61799e-05,6.61799e-05
99,2152.8,1.01874,0.90109,0.92345,0.78462,0.72747,0.76647,0.44742,1.50939,1.11497,1.07522,4.96766e-05,4.96766e-05,4.96766e-05
100,2161.71,1.04019,0.91751,0.94099,0.80521,0.7094,0.77133,0.44991,1.50399,1.11219,1.07577,3.31733e-05,3.31733e-05,3.31733e-05
